GameID,Player,Round,Turn,AgentName,ActionDescription
0,0,1,0,Br,End Current Phase
0,0,1,1,Br,BuyCard: SILVER by player 0
0,0,2,0,Br,End Current Phase
0,0,2,1,Br,BuyCard: SILVER by player 0
0,0,3,0,Br,End Current Phase
0,0,3,1,Br,BuyCard: MINE by player 0
0,0,4,0,Br,End Current Phase
0,0,4,1,Br,BuyCard: VILLAGE by player 0
0,0,5,0,Br,End Current Phase
0,0,5,1,Br,BuyCard: MILITIA by player 0
0,0,6,0,Br,MINE : Player 0
0,0,6,1,Br,Player 0 trashes a COPPER from HAND
0,0,6,2,Br,BuyCard: GOLD by player 0
0,0,7,0,Br,VILLAGE : Player 0
0,0,7,1,Br,BuyCard: GOLD by player 0
0,0,8,0,Br,MILITIA : Player 0
0,0,8,1,Br,BuyCard: GOLD by player 0
0,0,9,0,Br,MINE : Player 0
0,0,9,1,Br,Player 0 trashes a COPPER from HAND
0,0,9,2,Br,BuyCard: MILITIA by player 0
0,0,10,0,Br,MILITIA : Player 0
0,0,10,1,Br,BuyCard: MILITIA by player 0
0,0,11,0,Br,MINE : Player 0
0,0,11,1,Br,Player 0 trashes a COPPER from HAND
0,0,11,2,Br,BuyCard: PROVINCE by player 0
0,0,12,0,Br,MILITIA : Player 0
0,0,12,1,Br,BuyCard: DUCHY by player 0
0,0,13,0,Br,VILLAGE : Player 0
0,0,13,1,Br,BuyCard: GOLD by player 0
0,0,14,0,Br,MINE : Player 0
0,0,14,1,Br,Player 0 trashes a COPPER from HAND
0,0,14,2,Br,BuyCard: PROVINCE by player 0
0,0,15,0,Br,MILITIA : Player 0
0,0,15,1,Br,BuyCard: SILVER by player 0
0,0,16,0,Br,MILITIA : Player 0
0,0,16,1,Br,BuyCard: PROVINCE by player 0
0,0,17,0,Br,End Current Phase
0,0,17,1,Br,BuyCard: PROVINCE by player 0
0,0,18,0,Br,VILLAGE : Player 0
0,0,18,1,Br,BuyCard: MILITIA by player 0
